Case Number,Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Time,Species
2006.03.23,23-Mar-2006,2006.0,USA,Surfing,F,28,N,11h30,"Tiger shark, 10'  "
2006.03.22,22-Mar-2006,2006.0,SOUTH AFRICA,Swimming,M,17,,,Shark involvement prior to death was not confirmed
2006.03.19,18-Mar-2006,2006.0,FIJI,Surfing,M,21,N,18h00,"Tiger shark, 5' "
2006.03.15,15-Mar-2006,2006.0,AUSTRALIA,Surfing,M,15,N,17h00,"Bronze whaler shark, 2 m"
2006.02.27,27-Feb-2006,2006.0,USA,Standing,F,15,N,16h30,5' to 7' shark
2006.02.23,23-Feb-2006,2006.0,USA,Diving,M,45,,Late afternoon,Invalid
2006.02.13,13-Feb-2006,2006.0,AUSTRALIA,Wading,M,18,N,11h00,
2006.02.12.b,12-Feb-2006,2006.0,AUSTRALIA,Swimming,M,,N,,
2006.02.12.a,12-Feb-2006,2006.0,AUSTRALIA,Fishing,M,,N,12h00,4.5 m white shark
2006.02.08,08-Feb-2006,2006.0,SOUTH AFRICA,Surfing,M,15,N,Late afternoon,Raggedtooth shark
2006.02.01.b,01-Feb-2006,2006.0,TONGA,Swimming,F,24,Y,18h00,Tiger shark
2006.02.01.a,01-Feb-2006,2006.0,USA,Kayaking,M,57,N,Afternoon,12' to 18' shark
2006.01.28.R,Reported 28-Jan-2006,2006.0,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,M,46 & 34,N,,12' shark
2006.01.25,25-Jan-2006,2006.0,SOUTH AFRICA,Fishing,M,34,N,14h00,
2006.01.23,23-Jan-2006,2006.0,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,F,"28, 23 & 30",N,,
2006.01.18,18-Jan-2006,2006.0,USA,Surfing,M,,N,22h30,
2006.01.15,15-Jan-2006,2006.0,AUSTRALIA,Diving,M,52,N,11h00,3.5 m white shark
2006.01.11,11-Jan-2006,2006.0,BAHAMAS,Diving,M,,,Morning,Invalid
2006.01.07,07-Jan-2006,2006.0,AUSTRALIA,Swimming,F,21,Y,17h15,Bull shark
2006.01.04,04-Jan-2006,2006.0,USA,Surfing,M,21,N,16h45,4' shark
2006.01.01,01-Jan-2006,2006.0,SOUTH AFRICA,Fishing,M,49,N,,Said to involve a 1.5 m shark
2005.12.24,24-Dec-2005,2005.0,USA,Surfing,M,30,N,12h00,White shark
2005.12.21,21-Dec-2005,2005.0,USA,Swimming,M,29,N,11h45,Tiger shark
2005.12.20,20-Dec-2005,2005.0,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,,,N,13h30,3 m shark
2005.12.11,11-Dec-2005,2005.0,AUSTRALIA,Fishing,M,44,N,11h00,Whitetip reef shark
2005.12.05.R,Reported 06-Dec-2005,2005.0,AUSTRALIA,Fishing,,,N,15h30,4 m white shark
2005.11.29.R,Reported 29-Nov-2005,2005.0,USA,Surfing,M,teen,N,,
2005.11.27,27-Nov-2005,2005.0,USA,Surfing,M,23,N,13h00,4' shark
2005.11.25.c,25-Nov-2005,2005.0,AUSTRALIA,Fishing,,,N,,3 m white shark
2005.11.25.b,25-Nov-2005,2005.0,AUSTRALIA,Surfing,M,18,N,18h00,1.8 m shark
2005.11.25.a,25-Nov-2005,2005.0,SOUTH AFRICA,Surfing,M,26,N,11h30,
2005.11.24,24-Nov-2005-,2005.0,NEW CALEDONIA,Fishing,,,N,20h30,
2005.11.21,21-Nov-2005,2005.0,USA,Surfing,M,30s,N,Afternoon,4' shark
2005.11.20,20-Nov-2005,2005.0,USA,Surfing,M,17,N,14h30,
2005.11.16.R,Reported  16-Nov-2005,2005.0,NEW CALEDONIA,,,,N,,4.5 m white shark
2005.11.15,15-Nov-2005,2005.0,SOUTH AFRICA,Fishing,M,32,N,14h00,"Raggedtooth shark, 2.5m "
2005.11.12,12-Nov-2005,2005.0,USA,Surfing,M,18,N,13h00,6' shark
2005.11.02.b,02-Nov-2005,2005.0,USA,Surfing,M,25,N,16h45,
2005.11.02.a,02-Nov-2005,2005.0,USA,Surfing,M,26,N,07h15,12' to 14' white shark
2005.10.29,29-Oct-2005,2005.0,USA,Wading,M,15,N,,2' to 3' shark
2005.10.25,25-Oct-2005,2005.0,ST. MAARTIN,Standing,M,55,N,08h00,2' shark
2005.10.22,22-Oct-2005,2005.0,SOUTH AFRICA,Surfing,M,20,N,Morning,3 m shark
2005.10.21,21-Oct-2005,2005.0,USA,Surfing,M,36,N,11h00,White shark
2005.10.19,19-Oct-2005,2005.0,USA,Surfing,F,20,N,10h30,18' white shark
2005.10.15,15-Oct-2005,2005.0,USA,Wading,M,15,N,17h55,
2005.10.13,13-Oct-2005,2005.0,USA,Surfing,M,22,N,18h00,"Tiger shark, less than 10'"
2005.10.11,11-Oct-2005,2005.0,GRAND CAYMAN,Diving,F,57,N,15h00,Caribbean reef sharks
2005.10.06,06-Oct-2005,2005.0,USA,Surfing,M,48,N,16h05,
2005.10.03,03-Oct-2005,2005.0,BAHAMAS,Diving,M,35,N,,
2005.10.01,01-Oct-2005,2005.0,SOUTH AFRICA,Surfing,M,52,N,15h00,White shark
2005.09.27.R,Reported      27-Sep-2005,2005.0,AUSTRALIA,Surfing,M,28,N,,"Tiger shark, 3 m "
2005.09.24,24-Sep-2005,2005.0,AUSTRALIA,Surfing,M,26,N,12h05,14' to 16' white shark
2005.09.23,23-Sep-2005,2005.0,AUSTRALIA,Surfing,M,44,N,Morning,Bronze whaler shark
2005.09.22,22-Sep-2005,2005.0,USA,Surfing,M,,,07h30,Shark involvement not confirmed
2005.09.20,20-Sep-2005,2005.0,USA,Surfing,F,68,N,16h30,3' to 4' shark
2005.09.11,11-Sep-2005,2005.0,USA,Surfing,M,18,Y,14h00,
2005.09.07,07-Sep-2005,2005.0,AUSTRALIA,Standing,M,15,N,Dusk,
2005.09.05,05-Sep-2005,2005.0,USA,Wading,F,18,N,15h20,Bull shark
2005.09.04.a,04-Sep-2005,2005.0,AUSTRALIA,Surfing,M,40,N,15h00,4 m [13'] white shark
2005.09.02.b,02-Sep-2005,2005.0,USA,Surfing,M,62,N,11h10,
2005.09.02.a,02-Sep-2005,2005.0,THAILAND,Removing shark from net,M,21,Y,,"2 m [6.75'] shark, 200-kg shark T"
2005.08.24.b,24-Aug-2005,2005.0,AUSTRALIA,Diving,M,23,Y,16h10,White shark
2005.08.24.a,24-Aug-2005,2005.0,USA,Surfing,M,37,N,11h00,juvenile white shark
2005.08.22,22-Aug-2005,2005.0,USA,"Boogie boarding, kicked at object in the water",M,17,,Afternoon,Shark involvement not confirmed
2005.08.21,21-Aug-2005,2005.0,USA,Swimming,M,8,N,Morning,Possibly a sandbar shark or small blacktip shark
2005.08.19,19-Aug-2005,2005.0,USA,Walking,M,12,N,20h00,
2005.08.14,14-Aug-2005,2005.0,SOUTH AFRICA,,,,,,Shark involvement prior to death was not confirmed
2005.08.12,12-Aug-2005,2005.0,USA,Surfing,M,16,N,11h30,1.8 m [6'] shark
2005.08.06,6-Aug-2005,2005.0,USA,Swimming,M,14,N,09h45,
2005.08.01,1-Aug-2005,2005.0,Seychelles,Fishing,M,,,,Invalid
2005.07.27,27-Jul-2005,2005.0,USA,Wading,F,13,N,18h00,
2005.07.23,23-Jul-2005,2005.0,USA,Surfing,M,61,N,11h30,
2005.07.22,22-Jul-2005,2005.0,USA,Surfing,M,25,,11h15,Shark involvement not confirmed
2005.07.17.b,17-Jul-2005,2005.0,LIBERIA,Swimming,M,,,,Shark involvement prior to death was not confirmed
2005.07.17.a,17-Jul-2005,2005.0,CHINA,Diving,M,24,N,,3.5 m [11.5']shark
2005.07.15.R,Reported      15-Jul-2005,2005.0,AUSTRALIA,,,,,,No shark involvement
2005.07.15,15-Jul-2005,2005.0,USA,Swimming,M,22,N,16h40,[4.5' to 5'] shark
2005.07.13,13-Jul-2005,2005.0,USA,Fishing,F,14,N,13h00,[4' to 5']
2005.07.01,1-Jul-2005,2005.0,USA,Standing,M,19,N,11h30,
2005.06.27,27-Jun-2005,2005.0,USA,Fishing,M,16,N,11h30,Bull shark
2005.06.25,25-Jun-2005,2005.0,USA,Swimming,F,14,Y,11h15,1.8 m [6'] bull shark
2005.06.22,22-Jun-2005,2005.0,VANUATU,Swimming,F,7,Y,Afternoon,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
2005.06.21,20-Jun-2005,2005.0,MEXICO ,Surfing,M,,N,07h00,
2005.06.18,18-Jun-2005,2005.0,USA,Swimming,M,49,,08h00,Invalid
2005.06.16,16-Jun-2005,2005.0,USA,Swimming,M,20,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound"
2005.06.13,13-Jun-2005,2005.0,SOUTH KOREA,Diving,F,38,N,,3 m [10'] white shark
2005.06.07,07-Jun-2005,2005.0,USA,Boogie boarding,F,11,N,11h30 ,
2005.06.05,05-Jun-2005,2005.0,USA,Surfing,M,17,,11h00,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident"
2005.06.04,04-Jun-2005,2005.0,SOUTH AFRICA,Fishing,M,22,Y,15h45,White shark
2005.06.02,02-Jun-2005,2005.0,USA,Wading,M,6,N,Morning,
2005.05.28,28-May-2005,2005.0,USA,Swimming,M,33,N,17h30,"""small shark"""
2005.05.27,27-May-2005,2005.0,USA,Crouching in 2' of water,F,,N,18h30,"18"" to 36"" shark"
2005.05.25,25-May-2005,2005.0,SOUTH AFRICA,Surfing,M,32,N,11h00,Raggedtooth shark
2005.05.15,15-May-2005,2005.0,AUSTRALIA,Fishing,M,,N,,Blacktip shark
2005.05.14,14-May-2005,2005.0,USA,Kayaking,,,N,11h00,"Tiger shark, 8' to 9' "
2005.05.03,03-May-2005,2005.0,MADAGASCAR,Fishing,M,,N,,2.5 m shark
2005.05.02.R,02-May-2005,2005.0,USA,Sea Disaster,M,Teens,N,,
2005.05.02,02-May-2005,2005.0,USA,Surfing,M,47,N,10h30,"Tiger shark, 3 m [10']"
2005.04.25,25-Apr-2005,2005.0,AUSTRALIA,Fishing,M,25,N,23h00,"Mako shark, 1.5 m [5'] "
2005.04.17.R,17-Apr-2005,2005.0,AUSTRALIA,,,,N,,
2005.04.16.b,16-Apr-2005,2005.0,AUSTRALIA,Fishing,M,20,N,,2 m [6.75'] copper shark
2005.04.16.a,16-Apr-2005,2005.0,AUSTRALIA,Surfing,M,40,N,06h10,Bronze whaler shark
2005.04.13,13-Apr-2005,2005.0,USA,Wading,F,70,N,,1.8 m [6'] blacktip shark
2005.04.09,09-Apr-2005,2005.0,USA,Surfing,M,52,,,Shark involvement not confirmed
2005.04.07,07-Apr-2005,2005.0,USA,Surfing,M,37,N,19h00,
2005.04.06,06-Apr-2005,2005.0,USA,,F,,N,,small hammerhead shark
2005.04.06,06-Apr-2005,2005.0,HONDURAS,Diving,F,,,,Shark involvement not confirmed
2005.03.28,28-Mar-2005,2005.0,SOUTH AFRICA,Surfing,M,32,N,09h45,4 m [13'] shark
2005.03.27.R,Reported    27-Mar-2005,2005.0,AUSTRALIA,Surfing,M,,N,,
2005.03.25,25-Mar-2005,2005.0,VENEZUELA,Surfing,M,,N,17h30,
2005.03.19,19-Mar-2005,2005.0,AUSTRALIA,Diving,M,26,Y,14h00,6 m [20'] white shark
2005.03.12,12-Mar-2005,2005.0,USA,Diving,M,45,N,15h30,"Sandtiger shark, 2.1 m [7'] "
2005.03.10,10-Mar-2005,2005.0,SOUTH AFRICA,,M,51,,,Invalid
2005.03.09,09-Mar-2005,2005.0,NEW ZEALAND,Fishing,M,,N,14h00,"Bronze whaler shark, 4.3 m [14'] "
2005.03.05,05-Mar-2005,2005.0,SOLOMON ISLANDS,Diving,M,,N,,
2005.02.26,26-Feb-2005,2005.0,AUSTRALIA,Swimming,M,18,N,,Bull shark
2005.02.22,22-Feb-2005,2005.0,USA,Fishing,M,,N,,"Nurse shark, 3' "
2005.02.16,16-Feb-2005,2005.0,USA,Surfing,M,,N,14h30,"Tiger shark, 2.4 m [8']"
2005.02.13,13-Feb-2005,2005.0,USA,Fishing,M,,N,,1.8 m [6'] Caribbean reef shark
2005.02.04,04-Feb-2005,2005.0,BRAZIL,Surfing,M,12,N,,
2005.01.20,20-Jan-2005,2005.0,CUBA,Swimming,M,19,N,,3 m [10'] shark
2005.01.19,19-Jan-2005,2005.0,AUSTRALIA,Fishing,M,,N,,3 m shark
2005.01.14,14-Jan-2005,2005.0,AUSTRALIA,Sailing,,,N,14h00,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  "
2005.01.08,08-Jan-2005,2005.0,NEW ZEALAND,Fishing,M,39,N,12h00,White shark
2004.12.26,26-Dec-2004,2004.0,SRI LANKA,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,,,No shark involvement
2004.12.16,16-Dec-2004,2004.0,AUSTRALIA,Surfing,M,18,Y,15h15,4.5 m & 5 m white shark 
2004.12.11,11-Dec-2004,2004.0,AUSTRALIA,Fishing,M,38,Y,13h00,Bull shark
2004.11.27,27-Nov-2004,2004.0,SOUTH AFRICA,Surfing,M,20,N,18h00,Raggedtooth shark
2004.11.26,26-Nov-2004,2004.0,SOUTH AFRICA,Playing,M,16,N,,Raggedtooth shark
2004.11.15,15-Nov-2004,2004.0,SOUTH AFRICA,Swimming,F,77,Y,07h00,6 m [20'] white shark
2004.11.11.b,11-Nov-2004,2004.0,USA,Surfing,M,38,N,13h30,5.5 m [18'] white shark
2004.11.11.a,11-Nov-2004,2004.0,VANUATU,Diving,M,30s,N,09h00,
2004.11.00,Nov-2004,2004.0,NEW CALEDONIA,Diving,,,N,,3 m shark
2004.10.31,31-Oct-2004,2004.0,CUBA,Diving,M,40,N,14h00,2.5 m [8.25'] bull shark
2004.10.30.x,30-Oct-2004,2004.0,NEW ZEALAND,,,,,,Invalid
2004.10.30.a,30-Oct-2004,2004.0,SOUTH AFRICA,Chumming for white sharks,M,52,N,Morning,2 m [6.75'] white shark
2004.10.21,21-Oct-2004,2004.0,AUSTRALIA,Surfing,M,59,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] "
2004.10.10,10-Oct-2004,2004.0,USA,Surfing,M,,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark
2004.10.09.b,09-Oct-2004,2004.0,USA,Fishing,M,34,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] "
2004.10.09.a,09-Oct-2004,2004.0,SOUTH AFRICA,Surfing,M,34,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
2004.10.06,06-Oct-2004,2004.0,REUNION,Body boarding,M,15,N,16h15,Thought to involve a 2.5 m bull or tiger shark
2004.10.02,02-Oct-2004,2004.0,USA,Surfing,M,16,N,15h30,
2004.10.01,01-Oct-2004,2004.0,USA,Surfing,M,40,N,14h00,
2004.09.25,25-Sep-2004,2004.0,AUSTRALIA,Fishing,,,N,12h00,"Tiger shark, 3 m [10'] "
2004.09.20,20-Sep-2004,2004.0,USA,Surfing,M,26,N,09h00,White shark
2004.09.10,10-Sep-2004,2004.0,USA,Fishing,M,,,Between 05h00 and 08h00,Shark involvement questionable
2004.09.08,08-Sep-2004,2004.0,BRAZIL,Swimming,,,Y,,
2004.09.04,04-Sep-2004,2004.0,USA,Jumping,F,17,N,15h40,2.4 m [8'] shark
2004.08.29,29-Aug-2004,2004.0,USA,Walking,F,38,N,17h30,
2004.08.21,21-Aug-2004,2004.0,BRAZIL,Bathing,M,24,N,13h00,"Tiger shark, 1.5 m "
2004.08.20,20-Aug-2004,2004.0,USA,Surfing,M,,N,17h30,0.9 m to 1.2 m [3' to 4'] white shark
2004.08.15,15-Aug-2004,2004.0,USA,Diving,M,50,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark
2004.08.06,06-Aug-2004,2004.0,USA,Swimming,M,47,N,20h30,1.2 m [4'] shark
2004.08.03,03-Aug-2004,2004.0,AUSTRALIA,Fishing,M,30,N,14h00,
2004.08.00,Aug-2004,2004.0,SOUTH AFRICA,Fishing,,,N,,3 m to 4 m [10' to 13']  white shark
2004.07.31,31-Jul-2004,2004.0,USA,Surfing,F,20,N,13h00,
2004.07.30,30-Jul-2004,2004.0,RUSSIA,Fishing,M,,N,,White shark
2004.07.28,28-Jul-2004,2004.0,USA,Surfing,F,28,N,17h30,
2004.07.27.b,27-Jul-2004,2004.0,USA,Swimming,F,13,N,17h00,1.8 m [6'] shark
2004.07.27.a,27-Jul-2004,2004.0,USA,Swimming,F,19,N,16h30,1.2 m to 1.5 m [4' to 5'] shark
2004.07.25,25-Jul-2004,2004.0,USA,Fishing,M,11,N,19h30,Bull shark
2004.07.19.R," 19-Jul-2004 Reported to have happened  ""on the weekend""",2004.0,AUSTRALIA,Fishing,,,N,,4 m [13'] white shark
2004.07.15,15-Jul-2004 ,2004.0,JAPAN,Fishing,M,51,N,,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] "
2004.07.10,10-Jul-2004,2004.0,AUSTRALIA,Surfing,M,30,Y,14h10,"2 sharks, 4.5 m & 3 m "
2004.07.02.b,02-Jul-2004,2004.0,EGYPT,Diving,F,Teen,N,,"""black tipped"" shark"
2004.07.02.a,02-Jul-2004,2004.0,USA,Wading,M,7,N,16h40,4' to 5' shark
2004.06.26.b,26-Jun-2004,2004.0,USA,Surfing,M,45,N,09h00,"9'2"" white shark"
2004.06.26.a,26-Jun-2004,2004.0,AUSTRALIA,Fishing,M,,,,Invalid
2004.06.14,14-Jun-2004,2004.0,USA,Diving,F,,N,,
2004.06.10.b,10-Jun-2004,2004.0,AUSTRALIA,Body boarding,M,17,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] "
2004.06.10.a,10-Jun-2004,2004.0,USA,Swimming,M,8,N,18h00,1.2 m [4'] shark
2004.06.02,02-Jun-2004,2004.0,SOUTH AFRICA,Swimming,M,21,Y,15h00,White shark
2004.05.29,29-May-2004,2004.0,USA,Wading,M,16,N,19h45,0.9 m to 1.5 m [3' to 5'] shark
2004.05.23.b,23-May-2004,2004.0,BRAZIL,Swimming,M,17,N,14h30,Bull shark
2004.05.28,28-May-2004,2004.0,USA,Surfing,M,44,N,11h00,2.4 m to 3.7 m [8' to 12'] shark
2004.05.23.a,23-May-2004,2004.0,USA,Swimming,M,9,N,12h30,
2004.05.22.c,22-May-2004,2004.0,USA,Swimming,M,9,,,Shark involvement not confirmed
2004.05.22.b,22-May-2004,2004.0,USA,,F,9,N,Afternoon,
2004.05.22.a,22-May-2004,2004.0,BRAZIL,Wading,F,24,N,16h00,
2004.05.18,18-May-2004,2004.0,BAHAMAS,Fishing,M,63,N,15h00,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
2004.05.04,04-May-2004,2004.0,USA,Surfing,M,28,N,16h30,"Mako shark, 1.8 m [6']"
2004.05.01,01-May-2004,2004.0,BRAZIL,Swimming,M,22,Y,Afternoon,
2004.04.26,26-Apr-2004,2004.0,AUSTRALIA,Diving,M,,N,Morning,"Wobbegong shark, 1.2 m [4'] k"
2004.04.22,22-Apr-2004,2004.0,NEW ZEALAND,Fishing,,,N,,"White shark, 5.5 m [18']"
2004.04.13.b,13-Apr-2004,2004.0, TONGA,Fishing,M,,Y,,small sharks
2004.04.13.a,13-Apr-2004,2004.0, TONGA,Fishing,M,,Y,,Questionable Incident
2004.04.07,07-Apr-2004,2004.0,USA,Surfing,M,57,Y,07h08,Tiger shark
2004.04.05,05-Apr-2004,2004.0,SOUTH AFRICA,Surfing,M,16,N,14h00,5 m [16.5'] white shark
2004.04.04,04-Apr-2004,2004.0,USA,Surfing,F,22,,,Shark involvement prior to death was not confirmed
2004.03.31.b,31-Mar-2004,2004.0,USA,,M,26,N,,
2004.03.31.a,31-Mar-2004,2004.0,USA,Surfing,M,20,N,09h00,1.2 m [4'] bull shark
2004.03.29,29-Mar-2004,2004.0,BRAZIL,Body boarding,M,22,N,07h30,bull shark
2004.03.28,28-Mar-2004,2004.0,USA,Surfing,M,,N,15h00,bull shark
2004.03.27.b,27-Mar-2004,2004.0,REUNION,Surfing,M,20,N,17h00 or 17h40,2.5 m shark
2004.03.27.a,27-Mar-2004,2004.0,USA,Swimming,M,61,N,08h30,
2004.03.24,14-Mar-2004,2004.0,USA,Diving,F,,N,10h00,1.8 m [6'] shark
2004.03.22,22-Mar-2004,2004.0,NEW ZEALAND,Fishing,M,,N,12h30,Bronze whaler shark
2004.03.16,16-Mar-2004,2004.0,USA,Surfing,M,51,N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
2004.03.06,06-Mar-2004,2004.0,AUSTRALIA,Fishing,M,47,N,,"Bronze whaler shark, 1.5 m [5'] "
2004.02.29,29-Feb-2004,2004.0,BRAZIL,Swimming,M,29,Y,15h00,
2004.02.26,26-Feb-2004,2004.0,NEW ZEALAND,Surfing,M,15,N,19h00,2 m [6.75'] sevengill  shark
2004.02.21,21-Feb-2004,2004.0,AUSTRALIA,Swimming,M,,N,,
2004.02.16,16-Feb-2004,2004.0,AUSTRALIA,Fishing,M,31,,11h00,Shark involvement not confirmed
2004.02.14,14-Feb-2004,2004.0,EGYPT,Diving,M,,Y,,
2004.02.11,11-Feb-2004,2004.0,AUSTRALIA,Diving,M,22,N,,"60 cm [23.6""] blind or brown shark"
2004.01.25,25-Jan-2004,2004.0,AUSTRALIA,Diving,M,46,N,11h05,4 m to 5 m [13' to 16.5'] white shark
2004.01.23,23-Jan-2004,2004.0,URUGUAY,Surfing,M,21,N,,Possibily a  1.5 to 2 m sandtiger shark
2004.01.22,22-Jan-2004,2004.0,NEW ZEALAND,Boogie boarding,M,,,,Shark involvement doubtful
2004.01.21.b,21-Jan-2004,2004.0,VENEZUELA,Swimming,M,,N,14h30,"Bull shark, 1.65 m [5'5""] was speared & killed"
2004.01.21.a,21-Jan-2004,2004.0,VENEZUELA,Fishing,M,40,N,11h00,"Bull shark, 132-kg [291-lb] "
2004.01.15.R,Reported 15-Jan-2004 ,2004.0,SOUTH AFRICA,Surfing,M,,N,,"Mako shark, 3 m to 4 m [10' to 13'] "
2004.01.12,12-Jan-2004,2004.0,AUSTRALIA,Diving,M,,N,Midday,"Raggedtooth shark, 3.5 m [11.5'] "
2004.01.07,07-Jan-2004,2004.0,SOUTH AFRICA,Surfing,M,22,N,,Raggedtooth shark
2004.01.03.b,03-Jan-2004,2004.0,NEW ZEALAND,Fishing,M,,,Afternoon,Invalid
2004.01.03.a,03-Jan-2004,2004.0,EGYPT,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,,Y,03h00,
2004.00.00,2004,2004.0,AUSTRALIA,Surfing,M,,N,Morning,
2003.12.31,31-Dec-2003,2003.0,SOUTH AFRICA,,,,N,,Shortfin mako shark
2003.12.26,26-Dec-2003,2003.0,USA,Swimming,M,28,,,Questionable Incident
2003.12.13.b,13-Dec-2003,2003.0,USA,Swimming,M,13,N,13h15,
2003.12.13.a,13-Dec-2003,2003.0,NEW ZEALAND,Swimming,M,45,Y,Night,
2003.12.08,08-Dec-2003,2003.0,AUSTRALIA,Surfing,M,36,N,09h30,
2003.11.30.b,30-Nov-2003,2003.0,AUSTRALIA,Swimming,M,,N,11h30,"Wobbegong shark, 1.2 m [4'] "
2003.11.30.a,30-Nov-2003,2003.0,AUSTRALIA,Swimming,M,,N,11h30,"Wobbegong shark, 1.2 m [4'] "
2003.11.27,27-Nov-2003,2003.0,SOUTH AFRICA,Fishing,M,21,Y,>08h00,"Tiger shark, 4 m [13']  ?"
2003.11.22,22-Nov-2003,2003.0,USA,Surfing,F,35,N,15h30,4' shark
2003.11.12.b,12-Nov-2003 ,2003.0,INDIA,Surfing,M,35,N,,Tiger shark?
2003.11.12.a,12-Nov-2003,2003.0,USA,Surfing,M,24,N,,
2003.11.06.b,06-Nov-2003,2003.0,EGYPT,Diving,M,,N,,2.5 oceanic whitetip shark
2003.11.06.a,06-Nov-2003,2003.0,SOUTH AFRICA,Surfing,,,N,,White shark
2003.11.01,01-Nov-2003,2003.0,AUSTRALIA,Standing,M,,N,Dusk,
2003.11.00,Nov-2003,2003.0,PANAMA,Fishing,M,,N,,"Nurse shark, 60 cm to 90 cm [2' to 3'] "
2003.10.31.c,31-Oct-2003,2003.0,USA,Surfing,M,18,N,15h00,1.2 m to 1.5 m [4' to 5'] shark
2003.10.31.b,31-Oct-2003,2003.0,AUSTRALIA,Surfing,M,22,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
2003.10.31.a,31-Oct-2003,2003.0,USA,Surfing,F,13,N,07h30,"Tiger shark, 14' "
2003.10.27,27-Oct-2003,2003.0,USA,Surfing,M,46,N,12h20,
2003.10.24,24-Oct-2003,2003.0,USA,Diving,M,56,,12h20,Shark involvement not confirmed
2003.10.14,14-Oct-2003,2003.0,USA,Surfing,M,19,N,--,1.2 m [4'] shark
2003.10.06,06-Oct-2003,2003.0,USA,Swimming,M,,Y,--,Shark involvement prior to death was not confirmed
2003.10.05.e,05-Oct-2003,2003.0,USA,Surfing,F,,N,15h00,
2003.10.05.d,05-Oct-2003,2003.0,USA,Surfing,M,18,N,14h30,
2003.10.05.c,05-Oct-2003,2003.0,USA,Surfing,M,30,N,14h00,
2003.10.05.b,05-Oct-2003,2003.0,USA,Surfing,M,50,N,12h02,
2003.10.05.a,05-Oct-2003,2003.0,USA,Fishing,F,41,N,12h55,"1.2 m [4'] ""grey-colored shark"""
2003.09.29,29-Sep-2003,2003.0,FIJI,Fishing,M,40,Y,Night,
2003.09.28,28-Sep-2003,2003.0,USA,Surfing,M,16,N,07h45,
2003.09.21,21-Sep-2003,2003.0,USA,Surfing,M,21,N,11h45,
2003.09.19,19-Sep-2003,2003.0,USA,Surfing,M,19,N,16h30,
2003.09.17,17-Sep-2003,2003.0,USA,Surfing,M,17,N,14h00,
2003.09.14.c,14-Sep-2003,2003.0,USA,Surfing,M,30,N,16h14,3' shark
2003.09.14.b,14-Sep-2003,2003.0,SOUTH AFRICA,Fishing,,36 & 26,N,09h40,2 m cow shark
2003.09.14.a,14-Sep-2003,2003.0,USA,Swimming,F,8 or 10,,13h30,Shark involvement doubtful
2003.09.13.b,13-Sep-2003,2003.0,USA,Body boarding,M,18,N,17h11,6' shark
2003.09.13.a,13-Sep-2003,2003.0,USA,Standing,M,15,N,Afternoon,7' shark
2003.09.12,12-Sep-2003,2003.0,SOUTH AFRICA,Body boarding,M,19,Y,14h30,White shark
2003.09.00,Sep-2003,2003.0,USA,Fishing,M,,N,,
2003.08.29,29-Aug-2003,2003.0,USA,Fishing,M,,N,12h20,1.2 m [4'] bull shark
2003.08.19,19-Aug-2003,2003.0,USA,Swimming,F,50,Y,08h15,4.5 m to 5.5 m [15' to 18'] white shark
2003.08.12,12-Aug-2003,2003.0,USA,Swimming,M,31,,00h30,Shark involvement not confirmed
2003.08.08,08-Aug-2003,2003.0,SOUTH AFRICA,Surfing,M,16,N,08h00,3.5 m [11.5'] white shark
2003.07.26.R,Reported 26-Jul-2003,2003.0,AUSTRALIA,Surfing,M,37,N,,
2003.07.20,20-Jul-2003,2003.0,USA,Surfing,M,18,N,15h45,
2003.07.15,15-Jul-2003,2003.0,USA,Wading,F,15,N,14h37,
2003.07.09,10-Jul-2003,2003.0,BAHAMAS,Fishing,M,58,N,14h30,Unidentified species
2003.07.05.b,05-Jul-2003,2003.0,USA,Surfing,M,10,N,10h07,2' shark
2003.07.05.a,05-Jul-2003,2003.0,USA,Surfing,M,21,N,,1.5 m to 1.8 m [5' to 6'] shark
2003.07.04,04-Jul-2003,2003.0,BAHAMAS,Fishing,M,39,N,14h45,2.1 m  [7'] bull shark
